1, 0.4220, 0.1200, 0.1250, 0.1250
1, 0.4150, 0.1210, 0.1250, 0.1250
1, 0.4230, 0.1220, 0.1260, 0.1270
1, 0.4120, 0.1220, 0.1260, 0.1260
1, 0.4120, 0.1220, 0.1280, 0.1240
1, 0.4180, 0.1210, 0.1270, 0.1250
2, 0.4120, 0.1210, 0.1270, 0.1240
2, 0.4090, 0.1210, 0.1260, 0.1250
2, 0.4270, 0.1200, 0.1260, 0.1240
2, 0.3970, 0.1170, 0.1250, 0.1240
2, 0.4240, 0.1200, 0.1270, 0.1230
2, 0.4120, 0.1210, 0.1220, 0.1240
2, 0.4100, 0.1220, 0.1240, 0.1250
2, 0.4160, 0.1220, 0.1260, 0.1270
2, 0.4120, 0.1220, 0.1270, 0.1240
3, 0.4010, 0.1220, 0.1260, 0.1220
3, 0.4240, 0.1220, 0.1250, 0.1240
3, 0.4160, 0.1210, 0.1270, 0.1230
3, 0.4240, 0.1210, 0.1220, 0.1220
3, 0.4320, 0.1220, 0.1270, 0.1250
3, 0.4140, 0.1230, 0.1250, 0.1220
3, 0.4200, 0.1210, 0.1250, 0.1220
3, 0.4140, 0.1210, 0.1240, 0.1210
3, 0.4050, 0.1220, 0.1260, 0.1220
4, 0.4150, 0.1230, 0.1250, 0.1240
4, 0.4270, 0.1220, 0.1260, 0.1240
4, 0.4250, 0.1210, 0.1260, 0.1220
4, 0.4330, 0.1210, 0.1230, 0.1250
4, 0.4130, 0.1210, 0.1260, 0.1240
4, 0.4260, 0.1210, 0.1250, 0.1250
4, 0.4320, 0.1210, 0.1270, 0.1250
4, 0.4050, 0.1230, 0.1250, 0.1240
4, 0.4060, 0.1230, 0.1260, 0.1240
5, 0.4200, 0.1240, 0.1250, 0.1230
5, 0.4140, 0.1230, 0.1270, 0.1250
5, 0.4380, 0.1210, 0.1250, 0.1240
5, 0.4400, 0.1200, 0.1250, 0.1240
5, 0.4090, 0.1200, 0.1260, 0.1240
5, 0.4220, 0.1220, 0.1270, 0.1240
5, 0.4210, 0.1220, 0.1240, 0.1250
5, 0.4300, 0.1220, 0.1250, 0.1240
6, 0.4150, 0.1210, 0.1230, 0.1250
6, 0.4230, 0.1200, 0.1270, 0.1240
6, 0.4370, 0.1240, 0.1290, 0.1250
6, 0.4060, 0.1220, 0.1250, 0.1270
6, 0.3990, 0.1210, 0.1280, 0.1220
6, 0.4220, 0.1240, 0.1240, 0.1250
6, 0.4320, 0.1200, 0.1240, 0.1250
6, 0.4010, 0.1230, 0.1230, 0.1250
6, 0.4200, 0.1230, 0.1250, 0.1240
7, 0.4170, 0.1230, 0.1240, 0.1240
7, 0.4140, 0.1250, 0.1230, 0.1240
7, 0.4260, 0.1240, 0.1230, 0.1250
7, 0.4160, 0.1230, 0.1240, 0.1240
7, 0.4220, 0.1240, 0.1250, 0.1240
7, 0.4260, 0.1230, 0.1240, 0.1250
7, 0.4090, 0.1220, 0.1250, 0.1250
7, 0.4220, 0.1210, 0.1240, 0.1240
7, 0.4190, 0.1230, 0.1250, 0.1260
8, 0.4180, 0.1240, 0.1240, 0.1250
8, 0.4240, 0.1200, 0.1250, 0.1260
8, 0.4170, 0.1220, 0.1230, 0.1230
8, 0.4150, 0.1250, 0.1260, 0.1230
